film_title,category_name,film_rental_duration,standard_quartile
Telemark Heartbreakers,Animation,6,4
Tequila Past,Children,6,4
Voyage Legally,Classics,6,4
Warlock Werewolf,Children,6,4
Willow Tracy,Family,6,4
Wonka Sea,Animation,6,4
Wrong Behavior,Children,6,4
Argonauts Town,Animation,7,1
Bikini Borrowers,Animation,7,1
Blackout Private,Animation,7,1
Blanket Beverly,Family,7,1
Borrowers Bedazzled,Animation,7,1
Braveheart Human,Family,7,1
Bringing Hysterical,Comedy,7,1
Canyon Stock,Animation,7,1
Chamber Italian,Music,7,1
Chasing Fight,Family,7,1
Christmas Moonshine,Children,7,1
Clockwork Paradise,Children,7,1
Control Anthem,Comedy,7,1
Crazy Home,Comedy,7,1
Cruelty Unforgiven,Classics,7,1
Dares Pluto,Animation,7,1
Deer Virginian,Music,7,1
Desire Alien,Animation,7,1
Dinosaur Secretary,Family,7,1
Dracula Crystal,Classics,7,1
Empire Malkovich,Children,7,2
Forever Candidate,Children,7,2
Forrester Comancheros,Animation,7,2
Frankenstein Stranger,Comedy,7,2
Freaky Pocus,Music,7,2
Gandhi Kwai,Family,7,2
Ghostbusters Elf,Animation,7,2
Gilbert Pelican,Classics,7,2
Graduate Lord,Children,7,2
Grease Youth,Family,7,2
Heaven Freedom,Comedy,7,2
Hedwig Alter,Comedy,7,2
Hollywood Anonymous,Children,7,2
Home Pity,Music,7,2
Hook Chariots,Animation,7,2
House Dynamite,Family,7,2
Iron Moon,Classics,7,2
Island Exorcist,Classics,7,2
Jedi Beneath,Family,7,2
Killer Innocent,Family,7,3
Legally Secretary,Children,7,3
Legend Jedi,Music,7,3
Lights Deer,Classics,7,3
Lucky Flying,Music,7,3
Menagerie Rushmore,Animation,7,3
Music Boondock,Family,7,3
Musketeers Wait,Classics,7,3
Operation Operation,Comedy,7,3
Opposite Necklace,Family,7,3
Oscar Gold,Animation,7,3
Party Knock,Comedy,7,3
Patient Sister,Classics,7,3
Perfect Groove,Comedy,7,3
Pond Seattle,Animation,7,3
Rebel Airport,Music,7,3
Reds Pocus,Music,7,3
Right Cranes,Classics,7,3
Robbers Joon,Children,7,3
Roman Punk,Music,7,4
Room Roman,Animation,7,4
Saddle Antitrust,Comedy,7,4
Santa Paris,Children,7,4
Saturn Name,Comedy,7,4
Sensibility Rear,Family,7,4
Shepherd Midsummer,Children,7,4
Siege Madre,Family,7,4
Silence Kane,Music,7,4
Spiking Element,Classics,7,4
Spinal Rocky,Family,7,4
Towers Hurricane,Classics,7,4
Trainspotting Strangers,Comedy,7,4
Uncut Suicides,Music,7,4
Volume House,Classics,7,4
Walls Artist,Children,7,4
Wasteland Divine,Classics,7,4
Westward Seabiscuit,Classics,7,4
Won Dares,Music,7,4
